model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
KNN,True,True,0.9996899998999389,0.9996900772539664,0.9996899998999389,0.9996899998889411,"[76, 78]",chi2,2
KNN,True,False,0.9996899998999389,0.9996900772539664,0.9996899998999389,0.9996899998889411,"[76, 78]",chi2,2
KNN,False,True,0.9999099996999851,0.9999100194955401,0.9999099996999851,0.999909999698905,"[76, 78]",chi2,2
KNN,False,False,0.9999099996999851,0.9999100194955401,0.9999099996999851,0.999909999698905,"[76, 78]",chi2,2
Random Forest,True,True,0.9994400012998751,0.9994400840054799,0.9994400012998751,0.9994400012773123,"[76, 78]",chi2,2
Random Forest,True,False,0.999719999899945,0.9997200994462188,0.999719999899945,0.9997199998870121,"[76, 78]",chi2,2
Random Forest,False,True,0.999719999899945,0.9997200994462188,0.999719999899945,0.9997199998870121,"[76, 78]",chi2,2
Random Forest,False,False,0.999719999899945,0.9997200994462188,0.999719999899945,0.9997199998870121,"[76, 78]",chi2,2
GaussianNB,True,True,0.7766900807545305,0.8120955893997569,0.7766900807545305,0.7701794708942119,"[76, 78]",chi2,2
GaussianNB,True,False,0.7766900807545305,0.8120955893997569,0.7766900807545305,0.7701794708942119,"[76, 78]",chi2,2
GaussianNB,False,True,0.7766900807545305,0.8120955893997569,0.7766900807545305,0.7701794708942119,"[76, 78]",chi2,2
GaussianNB,False,False,0.7766900807545305,0.8120955893997569,0.7766900807545305,0.7701794708942119,"[76, 78]",chi2,2
Mutilayer Perceptron,True,True,0.99829999499971,0.9983039010448289,0.99829999499971,0.9982999901546784,"[76, 78]",chi2,2
Mutilayer Perceptron,True,False,0.996419975899525,0.9964623147092905,0.996419975899525,0.9964197991586299,"[76, 78]",chi2,2
Mutilayer Perceptron,False,True,0.992820032898235,0.9929293539976749,0.992820032898235,0.9928195079470364,"[76, 78]",chi2,2
Mutilayer Perceptron,False,False,0.9987899998997589,0.998791075502758,0.9987899998997589,0.9987899992496668,"[76, 78]",chi2,2
AdaBoost,True,True,0.996720052698817,0.9967621619273405,0.996720052698817,0.9967198698242029,"[76, 78]",chi2,2
AdaBoost,True,False,0.999180003499801,0.9991803255995947,0.999180003499801,0.9991800033274508,"[76, 78]",chi2,2
AdaBoost,False,True,0.9838898505982719,0.9851969247427917,0.9838898505982719,0.9838565221135136,"[76, 78]",chi2,2
AdaBoost,False,False,0.999000001699783,0.9990006039071551,0.999000001699783,0.9990000013492272,"[76, 78]",chi2,2
Logistic Regression,True,True,0.7705200688534154,0.810448483361157,0.7705200688534154,0.7629033723111708,"[76, 78]",chi2,2
Logistic Regression,True,False,0.7705200688534154,0.810448483361157,0.7705200688534154,0.7629033723111708,"[76, 78]",chi2,2
Logistic Regression,False,True,0.7705200688534154,0.810448483361157,0.7705200688534154,0.7629033723111708,"[76, 78]",chi2,2
Logistic Regression,False,False,0.7705200688534154,0.810448483361157,0.7705200688534154,0.7629033723111708,"[76, 78]",chi2,2
KNN,True,True,0.979520011495789,0.9797605480896644,0.979520011495789,0.9795175066266536,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
KNN,True,False,0.898639313986588,0.9212321872939678,0.898639313986588,0.8942299888120541,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
KNN,False,True,0.8381300546670793,0.8389917236382716,0.8381300546670793,0.8380294516307282,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
KNN,False,False,0.999849999099979,0.9998500596733937,0.999849999099979,0.9998499990933548,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
Random Forest,True,True,1.0,1.0,1.0,1.0,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
Random Forest,True,False,0.9991300065997599,0.9991306735542033,0.9991300065997599,0.9991300060937283,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
Random Forest,False,True,0.9726100362941591,0.974045955668522,0.9726100362941591,0.9725888197074193,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
Random Forest,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
GaussianNB,True,True,0.9549499631913582,0.9554449217117998,0.9549499631913582,0.9549373474385624,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
GaussianNB,True,False,0.7111601280409516,0.7637366328954444,0.7111601280409516,0.6959310259473153,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
GaussianNB,False,True,0.929469816087733,0.9303083264470461,0.929469816087733,0.929431201328282,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
GaussianNB,False,False,0.7193001365424947,0.7790753164823897,0.7193001365424947,0.7033391090692723,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
Mutilayer Perceptron,True,True,0.994440016998718,0.9944815381975927,0.994440016998718,0.9944398738195847,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
Mutilayer Perceptron,True,False,0.977860023095341,0.978571153950755,0.977860023095341,0.9778516031868666,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
Mutilayer Perceptron,False,True,0.9188399086846811,0.9192461101843151,0.9188399086846811,0.9188185888712711,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
Mutilayer Perceptron,False,False,0.999719999899945,0.999720092247654,0.999719999899945,0.9997199998873724,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
AdaBoost,True,True,0.9999399993999939,0.9999400101982662,0.9999399993999939,0.9999399993995081,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
AdaBoost,True,False,0.999090004999768,0.9990907691944978,0.999090004999768,0.9990900044981337,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
AdaBoost,False,True,0.9705400263938442,0.9721929579139109,0.9705400263938442,0.9705137265035614,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
AdaBoost,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
Logistic Regression,True,True,0.972429945395032,0.9727322067618305,0.972429945395032,0.9724254737994354,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
Logistic Regression,True,False,0.976309848896773,0.9765637631570918,0.976309848896773,0.9763059191116246,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
Logistic Regression,False,True,0.9610000299919,0.9613521237352991,0.9610000299919,0.9609928633078337,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
Logistic Regression,False,False,0.999760000299949,0.9997601190399857,0.999760000299949,0.9997600002852881,"[27, 29, 30, 75, 76, 77, 78]",chi2,7
KNN,True,True,0.9801099528964929,0.980907648652967,0.9801099528964929,0.980100128095498,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
KNN,True,False,0.9884300681970041,0.9885465948944847,0.9884300681970041,0.9884292581408102,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
KNN,False,True,0.8875001898756013,0.9023947516242061,0.8875001898756013,0.8863611358778103,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
KNN,False,False,0.9996500021999081,0.9996502713306392,0.9996500021999081,0.9996500021332114,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
Random Forest,True,True,1.0,1.0,1.0,1.0,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
Random Forest,True,False,0.999550003299877,0.9995500806160318,0.999550003299877,0.9995500032793038,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
Random Forest,False,True,0.974220080894035,0.9756499005830452,0.974220080894035,0.9741960828047835,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
Random Forest,False,False,1.0,1.0,1.0,1.0,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
GaussianNB,True,True,0.9845700364965491,0.9846463355218091,0.9845700364965491,0.9845694949570816,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
GaussianNB,True,False,0.9453800366887091,0.9454676042662081,0.9453800366887091,0.9453776501855088,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
GaussianNB,False,True,0.968699887094869,0.9692101322375585,0.968699887094869,0.9686912297477974,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
GaussianNB,False,False,0.7598400958510094,0.8087894436811918,0.7598400958510094,0.7498961246916026,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
Mutilayer Perceptron,True,True,0.99534996399943,0.9953888509661502,0.99534996399943,0.995349836809072,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
Mutilayer Perceptron,True,False,0.990600001098109,0.9906578774698528,0.990600001098109,0.9905996945795416,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
Mutilayer Perceptron,False,True,0.9408500771873981,0.9425632013571174,0.9408500771873981,0.9407863164060833,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
Mutilayer Perceptron,False,False,0.9995200026998771,0.9995204521232827,0.9995200026998771,0.9995200025580705,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
AdaBoost,True,True,0.996039960399604,0.996129564063204,0.996039960399604,0.9960394154259092,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
AdaBoost,True,False,0.997329981099655,0.9973587102331151,0.997329981099655,0.997329880471647,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
AdaBoost,False,True,0.960259889693155,0.9612426002791273,0.960259889693155,0.9602404715121858,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
AdaBoost,False,False,0.9999799997999981,0.9999800009999141,0.9999799997999981,0.999979999799962,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
Logistic Regression,True,True,0.9488400223895441,0.9511774275045344,0.9488400223895441,0.9487714352096065,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
Logistic Regression,True,False,0.924579324991666,0.9452161684904473,0.924579324991666,0.9213664009007608,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
Logistic Regression,False,True,0.8469500861685283,0.8518563930645735,0.8469500861685283,0.8463980958604941,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
